country,countryLabel,capitale,capitaleLabel,gps,flagimage
http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q61,Washington D.C.,Point(-98.5795 39.828175),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20States.svg
http://www.wikidata.org/entity/Q804,Panama,http://www.wikidata.org/entity/Q3306,Panama City,Point(-80.366667 8.616667),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Panama.svg
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q2471,Sanaa,Point(48.0 15.5),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Yemen.svg
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q131694,Aden,Point(48.0 15.5),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Yemen.svg
http://www.wikidata.org/entity/Q810,Jordan,http://www.wikidata.org/entity/Q3805,Amman,Point(36.5 31.2),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jordan.svg
http://www.wikidata.org/entity/Q811,Nicaragua,http://www.wikidata.org/entity/Q3274,Managua,Point(-85.0 13.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nicaragua.svg
http://www.wikidata.org/entity/Q813,Kyrgyzstan,http://www.wikidata.org/entity/Q9361,Bishkek,Point(75.0 41.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kyrgyzstan.svg
http://www.wikidata.org/entity/Q817,Kuwait,http://www.wikidata.org/entity/Q35178,Kuwait City,Point(47.6 29.166667),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kuwait.svg
http://www.wikidata.org/entity/Q819,Laos,http://www.wikidata.org/entity/Q9326,Vientiane,Point(104.0 18.2),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Laos.svg
http://www.wikidata.org/entity/Q822,Lebanon,http://www.wikidata.org/entity/Q3820,Beirut,Point(35.766667 33.833333),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lebanon.svg
http://www.wikidata.org/entity/Q826,Maldives,http://www.wikidata.org/entity/Q9347,Malé,Point(73.51 4.18),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Maldives.svg
http://www.wikidata.org/entity/Q833,Malaysia,http://www.wikidata.org/entity/Q1865,Kuala Lumpur,Point(108.0 3.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Malaysia.svg
http://www.wikidata.org/entity/Q836,Myanmar,http://www.wikidata.org/entity/Q37400,Naypyidaw,Point(96.0 22.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Myanmar.svg
http://www.wikidata.org/entity/Q837,Nepal,http://www.wikidata.org/entity/Q3037,Kathmandu,Point(84.0 28.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nepal.svg
http://www.wikidata.org/entity/Q842,Oman,http://www.wikidata.org/entity/Q3826,Muscat,Point(57.0 21.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oman.svg
http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q1362,Islamabad,Point(71.0 30.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Pakistan.svg
http://www.wikidata.org/entity/Q846,Qatar,http://www.wikidata.org/entity/Q3861,Doha,Point(51.212767 25.269535),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Qatar.svg
http://www.wikidata.org/entity/Q851,Saudi Arabia,http://www.wikidata.org/entity/Q3692,Riyadh,Point(44.116667 23.716667),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saudi%20Arabia.svg
